age,income,loan_amount,credit_score,years_employed,num_credit_lines,debt_ratio,defaulted
50,40872.0,32207.57,331,24,3,0.68,0
22,21343.0,35886.5,397,28,3,0.27,1
65,20275.0,5826.01,490,14,3,0.81,1
36,36645.0,19029.99,840,23,3,0.03,0
21,17797.0,33702.0,347,6,5,0.19,0
52,53674.0,5420.52,549,3,3,0.28,0
66,23782.0,6483.96,525,24,2,0.93,0
34,35871.0,43334.96,571,19,4,0.8,1
61,14145.0,35781.12,784,16,3,0.88,0
45,29825.0,16941.64,627,21,1,0.44,0
47,20072.0,35958.33,479,3,1,0.82,0
46,11373.0,40660.55,322,25,4,0.85,0
63,47616.0,18805.74,669,18,3,0.4,0
23,82502.0,6621.68,544,27,2,0.99,0
52,63878.0,46975.06,459,4,5,0.85,0
58,51065.0,20533.09,672,15,7,0.97,0
54,29523.0,9791.68,584,2,1,0.87,0
41,54336.0,27133.56,820,10,4,0.78,0
46,66965.0,39581.05,749,24,2,0.94,0
66,38887.0,14974.13,435,27,3,0.42,0
63,20087.0,17127.05,395,21,2,0.78,0
48,28291.0,15922.17,418,14,0,0.21,0
52,85080.0,49625.29,673,18,3,0.73,0
50,34983.0,13883.17,573,20,4,0.79,0
69,6889.0,30898.41,476,23,0,0.72,0
38,17423.0,46636.91,576,13,0,0.85,0
49,29371.0,11610.35,437,15,1,0.41,0
40,60956.0,48688.44,431,23,3,0.54,0
50,31680.0,47636.48,343,5,1,0.01,0
20,61526.0,44805.74,422,4,2,0.15,0
35,27915.0,14655.04,435,20,5,0.64,0
42,13600.0,33532.48,666,16,3,0.56,0
59,28402.0,39240.12,672,15,5,0.2,0
48,43152.0,49371.26,425,1,3,0.24,0
20,41397.0,13119.07,738,27,5,0.34,0
57,19389.0,39471.17,350,10,4,0.72,0
63,30467.0,20246.05,436,3,7,0.61,0
41,139015.0,12903.19,457,5,2,0.07,0
67,19602.0,23961.96,355,26,4,0.76,0
49,50532.0,40722.62,727,6,2,0.26,0
64,12729.0,25918.24,742,16,3,0.67,0
39,55932.0,29188.54,625,7,2,0.12,0
40,23245.0,49782.17,379,27,1,1.0,0
19,44402.0,22959.92,773,0,8,0.08,0
44,19039.0,32693.03,676,24,2,0.74,0
59,42000.0,21435.99,632,14,1,0.54,0
19,23056.0,22675.35,474,19,5,0.09,0
43,25399.0,36303.83,740,11,3,0.03,0
34,45297.0,47204.91,425,14,1,0.36,0
57,29284.0,29406.15,518,22,1,0.8,0
50,43923.0,39578.0,577,26,3,0.04,0
26,33010.0,9014.3,784,29,5,0.7,0
60,37562.0,14502.11,440,21,1,0.66,0
65,45367.0,27595.92,409,14,1,0.27,0
56,30485.0,5900.53,351,28,4,0.08,0
46,22070.0,16378.47,618,8,5,0.92,0
59,27829.0,28283.06,498,15,5,0.3,0
43,66011.0,5673.25,345,29,6,0.11,0
52,38487.0,16904.58,804,1,4,0.68,0
67,23803.0,28131.39,839,14,0,0.22,1
42,44390.0,30791.72,813,14,2,0.48,0
41,45897.0,46658.83,316,26,3,0.05,0
30,47099.0,34040.55,614,6,5,0.99,0
24,22272.0,23663.11,735,26,1,0.45,0
53,25817.0,46865.8,687,20,4,1.0,0
62,25889.0,40319.73,376,12,3,0.39,0
37,30323.0,14000.4,670,22,3,0.35,0
18,47546.0,10887.91,464,16,7,0.91,0
25,42112.0,35411.52,323,10,5,0.33,0
63,43810.0,30194.74,334,26,1,0.43,0
33,71468.0,40535.31,813,9,3,0.08,0
31,51249.0,38246.23,760,24,5,0.96,0
29,33830.0,33134.52,437,0,5,0.09,0
68,20092.0,49387.2,564,13,6,0.77,0
40,25406.0,29011.54,632,4,2,0.54,0
32,31861.0,10089.76,487,29,4,0.06,0
45,54971.0,42272.31,362,7,6,0.0,0
51,35823.0,16333.4,578,0,1,0.94,0
19,26158.0,39978.6,841,6,1,0.74,0
49,25174.0,48069.82,470,1,1,0.69,0
40,35074.0,36355.8,802,6,3,0.44,0
39,56670.0,31821.36,832,6,4,0.24,0
68,80460.0,25717.38,598,8,2,0.68,0
42,32765.0,21398.44,500,21,2,0.61,0
39,35512.0,20885.21,434,3,3,0.73,1
39,19792.0,33636.77,571,22,5,0.37,0
66,95760.0,38807.29,834,6,5,0.99,0
69,18025.0,35533.27,741,19,2,0.07,1
59,65240.0,13928.45,386,17,5,0.08,0
23,30252.0,27229.42,330,12,1,0.92,0
32,26912.0,40623.8,420,10,1,0.65,0
60,20848.0,26406.68,368,8,4,0.33,0
54,121179.0,29148.05,795,13,3,0.76,0
50,40568.0,39701.12,445,7,4,0.45,0
25,36704.0,34756.94,632,20,4,0.02,0
61,56577.0,23420.52,780,13,5,0.65,0
61,26228.0,45293.57,562,20,0,0.24,0
22,36349.0,12315.52,592,16,6,0.12,0
56,37353.0,49798.24,728,26,3,0.23,0
21,28111.0,10348.37,385,24,4,0.48,0
23,66159.0,5672.75,315,26,1,0.05,0
62,32555.0,45050.85,417,13,1,0.88,0
49,16705.0,16022.91,569,25,3,0.56,0
69,31234.0,37836.48,694,26,6,0.29,0
47,41134.0,41495.69,461,23,6,0.69,0
64,23231.0,43654.39,403,4,2,0.8,0
52,24166.0,49621.74,466,9,7,0.61,0
57,27636.0,18231.79,599,5,1,0.2,0
69,66877.0,36960.95,327,27,2,0.11,0
33,28465.0,10192.99,723,9,4,0.86,0
30,74203.0,23306.42,455,10,3,0.23,0
67,26703.0,43158.73,623,25,7,0.02,1
59,42724.0,21544.61,647,23,2,0.64,0
47,29053.0,31599.29,420,5,1,0.15,0
36,52947.0,27669.8,827,9,1,0.99,0
34,20762.0,34067.82,463,13,6,0.87,0
36,52650.0,48780.25,361,19,1,0.61,0
45,38443.0,7508.1,639,2,1,0.83,0
43,26371.0,30828.27,611,6,1,0.47,0
54,33419.0,43836.3,675,28,3,0.79,0
43,78192.0,26662.22,645,1,4,0.65,0
40,38907.0,8533.72,449,6,2,0.03,0
26,25556.0,30224.27,476,16,3,0.95,0
29,19884.0,19943.33,653,12,4,0.86,0
18,46756.0,11972.38,813,25,3,0.95,0
18,40052.0,43206.55,608,20,3,0.73,0
64,51406.0,28471.98,418,8,2,0.41,0
51,17481.0,46997.44,818,12,3,0.21,1
49,20209.0,41270.74,777,14,4,0.18,0
65,64437.0,36183.73,713,12,3,0.14,0
42,42859.0,5226.15,650,16,3,0.22,0
57,47415.0,24252.06,805,7,2,0.55,0
62,22441.0,13886.88,494,8,4,0.68,0
18,22237.0,45985.91,486,8,4,0.31,0
33,59613.0,12856.28,749,7,2,0.55,0
56,61034.0,17872.7,795,15,6,0.34,0
22,21075.0,28257.65,814,19,1,0.7,0
39,19155.0,16851.36,572,29,3,0.99,0
46,34396.0,14443.91,351,29,3,0.69,0
20,24351.0,31959.47,562,6,4,0.06,0
29,24099.0,9001.83,667,16,4,0.48,0
43,19425.0,7617.55,432,6,6,0.77,0
33,28732.0,21751.04,524,5,1,0.54,0
68,20387.0,37429.9,609,4,4,0.95,0
54,21000.0,29966.3,315,16,2,0.05,0
39,42159.0,24029.44,494,7,4,0.29,0
46,35327.0,30458.82,742,25,5,0.22,0
31,46279.0,21445.32,602,0,4,0.77,0
45,15922.0,47126.59,347,15,2,0.52,0
22,36495.0,7470.72,420,16,5,0.14,0
64,102521.0,35302.62,798,29,2,0.29,0
66,30148.0,45107.72,768,2,5,0.52,0
47,54851.0,41174.81,340,12,1,1.0,0
63,54612.0,13281.85,755,7,2,0.36,0
69,55972.0,18316.69,833,15,4,0.16,0
22,39471.0,37267.16,670,23,2,0.5,0
29,48197.0,8792.18,481,29,3,0.31,0
33,51509.0,41533.78,816,6,1,0.57,0
43,49897.0,37350.81,530,20,4,0.47,0
43,20771.0,37832.3,647,14,1,0.69,0
65,15465.0,9510.86,778,23,2,0.91,0
38,16701.0,37299.22,508,1,0,0.2,0
56,31727.0,35591.82,577,23,1,0.82,0
53,48872.0,42391.51,352,27,3,0.95,1
50,20906.0,6871.82,309,26,4,0.37,0
47,57641.0,6039.98,763,1,0,0.11,0
54,28250.0,21785.32,457,9,8,0.82,0
40,28385.0,11695.47,318,4,3,0.7,0
27,23907.0,30127.3,354,26,3,0.21,0
22,14152.0,46280.7,320,28,3,0.45,0
53,40727.0,22616.59,581,3,1,0.58,1
51,85505.0,43022.77,839,14,4,0.17,0
69,35195.0,5010.84,716,12,3,0.71,0
48,14396.0,12583.16,584,16,3,0.69,1
27,53646.0,6369.06,831,20,3,0.89,0
36,16117.0,19766.62,831,22,3,0.57,0
49,19841.0,45868.53,810,0,2,0.57,0
18,32236.0,9362.85,695,17,2,0.62,0
22,38616.0,32288.44,419,27,3,0.27,0
62,21931.0,25317.32,396,14,3,0.76,0
21,31614.0,47231.07,419,13,5,0.66,0
33,51926.0,10513.36,836,8,1,0.84,1
41,55608.0,14541.25,452,11,1,0.77,0
33,67896.0,6329.39,544,4,3,0.64,0
19,94345.0,24527.09,815,29,2,0.16,1
66,54445.0,17502.48,692,28,4,0.92,0
45,32586.0,44145.77,442,22,3,0.37,1
49,55807.0,32222.34,803,1,3,0.96,0
44,45860.0,32634.08,519,22,1,0.4,0
37,46779.0,28935.98,459,22,2,0.15,0
41,39680.0,9133.27,375,6,5,0.88,0
29,23017.0,25025.84,331,20,2,0.8,0
67,21719.0,49977.73,633,8,3,0.79,0
52,34594.0,42585.32,824,17,2,0.09,0
50,39123.0,45205.66,739,3,3,0.88,0
50,25856.0,42045.19,651,1,1,0.6,0
68,44877.0,9636.88,638,23,4,0.47,0
60,102784.0,15235.17,699,27,2,0.91,1
54,15182.0,5140.47,695,26,3,0.67,0
29,48588.0,18657.96,501,0,1,0.13,1
20,35137.0,9887.33,829,24,1,0.52,0
18,45494.0,26275.7,392,11,1,0.64,0
50,29279.0,35470.74,657,12,3,0.9,0
57,33758.0,44352.74,695,13,0,0.28,1
27,38745.0,38714.77,359,4,2,0.79,0
60,31232.0,47236.35,776,26,2,0.8,0
61,16979.0,7425.42,300,27,3,0.13,0
46,32307.0,5548.09,610,2,5,0.02,0
30,17886.0,34760.22,467,27,3,0.58,0
29,50342.0,18020.86,491,26,5,0.79,0
48,14289.0,16407.55,333,3,5,0.55,0
63,60738.0,19889.92,333,16,1,0.81,0
19,45016.0,17140.82,716,18,5,0.62,0
68,45103.0,28014.64,457,10,3,0.65,0
